logistica_brl,desconto_brl,lote_id,indice_qualidade_1a10,perda_processamento_pct,id_pedido
177.72,100.04,POLPA-202507-8699,8.387342513917375,2.99,Polpa congelada_Julho_30
169.15,113.21,POLPA-202507-4259,8.0,0.66,Polpa congelada_Julho_31
230.67,71.57,POLPA-202507-5163,8.0,2.95,Polpa congelada_Julho_32
816.75,277.53,POLPA-202507-8962,9.0,2.12,Polpa congelada_Julho_33
795.56,187.61,POLPA-202507-2114,9.0,1.33,Polpa congelada_Julho_34
368.67,148.2,POLPA-202507-8956,7.0,0.57,Polpa congelada_Julho_35
491.0,243.09,POLPA-202507-7438,10.0,1.96,Polpa congelada_Julho_36
494.07,178.88,POLPA-202507-9306,6.0,0.3,Polpa congelada_Julho_37
940.59,506.21,POLPA-202507-8009,7.0,1.0,Polpa congelada_Julho_38
234.74,140.29,POLPA-202507-5487,8.0,1.57,Polpa congelada_Julho_39
517.78,126.15,POLPA-202507-3429,8.0,0.34,Polpa congelada_Julho_40
772.36,269.85,POLPA-202507-3130,8.0,1.82,Polpa congelada_Julho_41
129.54,36.67,POLPA-202507-2422,8.0,2.0,Polpa congelada_Julho_42
855.83,373.48,POLPA-202507-2022,9.0,1.73,Polpa congelada_Julho_43
1366.68,553.91,POLPA-202507-9802,9.0,0.91,Polpa congelada_Julho_44
1024.22,575.04,POLPA-202507-1035,7.0,1.99,Polpa congelada_Julho_45
633.31,69.39,POLPA-202507-9404,8.0,0.81,Polpa congelada_Julho_46
843.91,306.77,POLPA-202507-2472,8.0,1.2,Polpa congelada_Julho_47
329.96,186.5,POLPA-202507-3708,6.0,1.45,Polpa congelada_Julho_48
164.72,131.66,POLPA-202507-8869,8.0,2.87,Polpa congelada_Julho_49
838.06,537.68,POLPA-202507-6878,8.0,1.79,Polpa congelada_Julho_50
533.56,170.37,POLPA-202507-2155,7.0,1.98,Polpa congelada_Julho_51
341.79,61.95,POLPA-202507-7989,10.0,1.3,Polpa congelada_Julho_52
198.42,63.45,POLPA-202507-4555,6.0,1.21,Polpa congelada_Julho_53
64.18,5.93,POLPA-202507-5401,9.0,0.69,Polpa congelada_Julho_54
525.57,64.99,POLPA-202507-9366,7.0,3.6,Polpa congelada_Julho_55
675.07,299.85,POLPA-202507-3103,9.0,1.15,Polpa congelada_Julho_56
318.32,89.03,POLPA-202507-9056,7.0,1.05,Polpa congelada_Julho_57
703.05,286.43,POLPA-202507-9311,9.0,2.82,Polpa congelada_Julho_58
419.86,78.19,POLPA-202507-8898,7.0,0.88,Polpa congelada_Julho_59
348.51,196.34738686131388,POLPA-202507-7088,10.0,2.5,Polpa congelada_Julho_60
415.34,360.32,POLPA-202507-3354,9.0,2.73,Polpa congelada_Julho_61
422.55,54.68,POLPA-202507-3376,9.0,1.49,Polpa congelada_Julho_62
310.87,71.61,POLPA-202507-5124,8.0,2.7,Polpa congelada_Julho_63
789.01,52.47,POLPA-202507-8128,10.0,2.4,Polpa congelada_Julho_64
1260.03,60.19,POLPA-202507-6540,8.0,3.15,Polpa congelada_Julho_65
262.88,125.53,POLPA-202507-8460,8.0,0.98,Polpa congelada_Julho_66
592.54,279.42,POLPA-202507-3843,7.0,1.69,Polpa congelada_Julho_67
620.57,517.26,POLPA-202507-2478,9.0,2.18,Polpa congelada_Julho_68
601.51,64.1,POLPA-202507-1974,10.0,2.16,Polpa congelada_Julho_69
536.09,519.09,POLPA-202507-9699,8.387342513917375,2.18,Polpa congelada_Julho_70
251.63,191.45,POLPA-202507-6717,9.0,1.48,Polpa congelada_Julho_71
390.83,404.94,POLPA-202507-3922,9.0,1.86,Polpa congelada_Julho_72
1059.3,193.19,POLPA-202507-5262,9.0,0.51,Polpa congelada_Julho_73
287.82,46.27,POLPA-202507-3378,10.0,1.11,Polpa congelada_Julho_74
495.5,24.58,POLPA-202507-6348,9.0,1.49,Polpa congelada_Julho_75
685.7,521.46,POLPA-202507-6559,10.0,1.68,Polpa congelada_Julho_76
578.7460611353711,0.51,POLPA-202507-9864,8.0,1.11,Polpa congelada_Julho_77
183.52,83.9,POLPA-202507-7250,9.0,3.39,Polpa congelada_Julho_78
505.57,193.58,POLPA-202507-2357,8.0,2.19,Polpa congelada_Julho_79
426.08,180.4,POLPA-202507-5653,9.0,2.29,Polpa congelada_Julho_80
552.26,362.43,POLPA-202507-6536,8.0,1.85,Polpa congelada_Julho_81
686.43,764.68,POLPA-202507-8791,7.0,3.33,Polpa congelada_Julho_82
137.75,36.95,POLPA-202507-5646,7.0,2.04,Polpa congelada_Julho_83
809.82,282.65,POLPA-202507-4809,10.0,1.74,Polpa congelada_Julho_84
542.3,10.95,POLPA-202507-9822,9.0,1.57,Polpa congelada_Julho_85
654.38,256.47,POLPA-202507-9622,9.0,1.85,Polpa congelada_Julho_86
468.82,154.49,POLPA-202507-5496,8.0,1.25,Polpa congelada_Julho_87
234.74,18.42,POLPA-202507-1279,8.0,3.28,Polpa congelada_Julho_88
395.82,87.08,POLPA-202507-3207,7.0,2.77,Polpa congelada_Julho_89
606.89,138.72,POLPA-202507-8178,8.0,2.33,Polpa congelada_Julho_90
435.8,41.42,POLPA-202507-6496,10.0,0.32,Polpa congelada_Julho_91
633.64,251.93,POLPA-202507-1223,10.0,2.86,Polpa congelada_Julho_92
776.57,337.0,POLPA-202507-2328,7.0,1.28,Polpa congelada_Julho_93
928.03,527.35,POLPA-202507-1856,8.0,2.11,Polpa congelada_Julho_94
1575.81,78.72,POLPA-202507-2944,7.0,2.19,Polpa congelada_Julho_95
385.96,58.98,POLPA-202507-4514,8.0,1.73,Polpa congelada_Julho_96
200.2,34.58,POLPA-202507-5242,7.0,1.53,Polpa congelada_Julho_97
277.39,190.51,POLPA-202507-8565,9.0,2.05,Polpa congelada_Julho_98
680.13,116.69,POLPA-202507-1685,9.0,2.06,Polpa congelada_Julho_99
464.09,58.57,POLPA-202507-1796,8.0,1.05,Polpa congelada_Julho_100
1004.1,281.38,POLPA-202507-6187,9.0,2.1,Polpa congelada_Julho_101
278.11,268.93,POLPA-202507-4644,8.387342513917375,2.95,Polpa congelada_Julho_102
945.49,80.66,POLPA-202507-1633,7.0,1.65,Polpa congelada_Julho_103
574.48,156.6,POLPA-202507-3472,8.0,3.03,Polpa congelada_Julho_104
550.68,263.91,POLPA-202507-5750,8.0,2.57,Polpa congelada_Julho_105
280.28,55.97,POLPA-202507-5905,8.0,1.04,Polpa congelada_Julho_106
382.1,205.26,POLPA-202507-5283,8.0,1.71,Polpa congelada_Julho_107
512.36,349.53,POLPA-202507-2573,8.0,0.91,Polpa congelada_Julho_108
373.83,134.86,POLPA-202507-5804,9.0,1.25,Polpa congelada_Julho_109
155.46,131.29,POLPA-202507-7729,9.0,2.53,Polpa congelada_Julho_110
533.25,412.53,POLPA-202507-5384,8.0,0.3,Polpa congelada_Julho_111
578.7460611353711,81.71,POLPA-202507-7442,7.0,1.83,Polpa congelada_Julho_112
578.7460611353711,21.76,POLPA-202507-6058,8.0,2.32,Polpa congelada_Julho_113
249.93,142.9,POLPA-202507-9789,9.0,2.01,Polpa congelada_Julho_114
959.22,238.47,POLPA-202507-9782,8.0,1.98,Polpa congelada_Julho_115
631.92,125.35,POLPA-202507-6424,8.0,2.95,Polpa congelada_Julho_116
251.08,185.86,POLPA-202507-1314,8.0,1.45,Polpa congelada_Julho_117
366.71,37.99,POLPA-202507-8905,8.0,1.87,Polpa congelada_Julho_118
113.82,8.25,POLPA-202507-3479,7.0,2.96,Polpa congelada_Julho_119
280.18,7.79,POLPA-202507-1828,9.0,3.4,Polpa congelada_Julho_120
588.09,14.11,POLPA-202507-8355,8.0,0.63,Polpa congelada_Julho_121
542.29,314.22,POLPA-202507-5239,6.0,2.15,Polpa congelada_Julho_122
368.0,251.82,POLPA-202507-6372,8.0,1.83,Polpa congelada_Julho_123
769.02,64.42,POLPA-202507-4360,7.0,1.97,Polpa congelada_Julho_124
365.06,251.64,POLPA-202507-1976,9.0,2.05,Polpa congelada_Julho_125
590.16,98.71,POLPA-202507-6000,9.0,1.1,Polpa congelada_Julho_126
380.51,263.09,POLPA-202507-2966,10.0,1.13,Polpa congelada_Julho_127
578.7460611353711,79.91,POLPA-202507-4520,7.0,1.17,Polpa congelada_Julho_128
563.11,70.37,POLPA-202507-2283,8.0,2.16,Polpa congelada_Julho_129
236.75,23.55,POLPA-202507-3233,8.0,2.5,Polpa congelada_Julho_130
818.25,163.97,POLPA-202507-4927,8.0,2.24,Polpa congelada_Julho_131
578.7460611353711,282.3,POLPA-202507-9110,9.0,1.03,Polpa congelada_Julho_132
578.7460611353711,3.22,POLPA-202507-4063,8.0,0.3,Polpa congelada_Julho_133
298.4,7.86,POLPA-202507-1777,9.0,1.74,Polpa congelada_Julho_134
125.32,21.69,POLPA-202507-6357,8.0,2.44,Polpa congelada_Julho_135
321.92,207.43,POLPA-202507-1301,8.0,2.64,Polpa congelada_Julho_136
521.96,109.64,POLPA-202507-1697,9.0,2.93,Polpa congelada_Julho_137
106.24,72.16,POLPA-202507-7621,10.0,2.15,Polpa congelada_Julho_138
239.0,190.23,POLPA-202507-1363,7.0,1.93,Polpa congelada_Julho_139
449.77,69.09,POLPA-202507-4142,9.0,1.87,Polpa congelada_Julho_140
263.61,2.56,POLPA-202507-9458,8.0,0.95,Polpa congelada_Julho_141
1055.69,362.59,POLPA-202507-6811,7.0,1.66,Polpa congelada_Julho_142
845.88,246.87,POLPA-202507-6955,9.0,1.63,Polpa congelada_Julho_143
425.55,27.46,POLPA-202507-8034,8.0,1.84,Polpa congelada_Julho_144
1073.11,198.94,POLPA-202507-4272,7.0,1.86,Polpa congelada_Julho_145
402.88,219.43,POLPA-202507-2024,9.0,3.19,Polpa congelada_Julho_146
133.07,103.49,POLPA-202507-8562,8.0,1.23,Polpa congelada_Julho_147
566.86,372.7,POLPA-202507-6718,8.0,0.93,Polpa congelada_Julho_148
789.71,274.24,POLPA-202507-7762,10.0,2.24,Polpa congelada_Julho_149
356.68,79.62,POLPA-202507-8938,8.387342513917375,1.92,Polpa congelada_Julho_150
337.71,196.34738686131388,POLPA-202507-6205,9.0,3.16,Polpa congelada_Julho_151
431.76,153.67,POLPA-202507-1425,7.0,1.11,Polpa congelada_Julho_152
857.52,439.84,POLPA-202507-1609,9.0,2.72,Polpa congelada_Julho_153
695.85,16.31,POLPA-202507-2466,8.0,1.86,Polpa congelada_Julho_154
175.97,49.86,POLPA-202507-9248,8.0,1.37,Polpa congelada_Julho_155
593.48,565.11,POLPA-202507-3119,10.0,2.95,Polpa congelada_Julho_156
699.56,304.61,POLPA-202507-9174,6.0,1.75,Polpa congelada_Julho_157
139.03,12.76,POLPA-202507-2675,8.0,3.04,Polpa congelada_Julho_158
854.67,195.61,POLPA-202507-2376,9.0,1.95,Polpa congelada_Julho_159
257.79,77.44,POLPA-202507-7248,9.0,0.69,Polpa congelada_Julho_160
230.92,41.29,POLPA-202507-3484,9.0,2.57,Polpa congelada_Julho_161
623.09,42.11,POLPA-202507-1698,9.0,1.35,Polpa congelada_Julho_162
1648.5,284.21,POLPA-202507-2000,8.0,2.06,Polpa congelada_Julho_163
122.58,58.64,POLPA-202507-2387,8.0,2.89,Polpa congelada_Julho_164
672.0,179.97,POLPA-202507-8221,9.0,2.45,Polpa congelada_Julho_165
239.76,107.11,POLPA-202507-8857,9.0,3.58,Polpa congelada_Julho_166
278.46,107.65,POLPA-202507-2531,10.0,2.08,Polpa congelada_Julho_167
371.84,251.94,POLPA-202507-2834,9.0,2.07,Polpa congelada_Julho_168
1555.94,151.02,POLPA-202507-4194,10.0,1.15,Polpa congelada_Julho_169
1515.45,288.22,POLPA-202507-3179,9.0,0.91,Polpa congelada_Julho_170
166.96,24.25,POLPA-202507-5375,8.387342513917375,2.39,Polpa congelada_Julho_171
412.67,132.54,POLPA-202507-3418,8.387342513917375,2.98,Polpa congelada_Julho_172
791.31,100.49,POLPA-202507-4570,10.0,1.59,Polpa congelada_Julho_173
440.7,103.06,POLPA-202507-3715,8.0,3.07,Polpa congelada_Julho_174
244.23,39.95,POLPA-202507-9627,7.0,2.34,Polpa congelada_Julho_175
640.17,386.93,POLPA-202507-6948,8.0,0.95,Polpa congelada_Julho_176
1555.58,146.37,POLPA-202507-1768,7.0,0.93,Polpa congelada_Julho_177
720.07,364.1,POLPA-202507-7765,8.0,1.4,Polpa congelada_Julho_178
762.3,127.97,POLPA-202507-9691,9.0,1.29,Polpa congelada_Julho_179
593.04,235.41,POLPA-202507-2442,8.0,1.18,Polpa congelada_Julho_180
214.44,18.78,POLPA-202507-9406,10.0,1.41,Polpa congelada_Julho_181
128.62,88.92,POLPA-202507-8813,7.0,1.56,Polpa congelada_Julho_182
733.71,27.03,POLPA-202507-2389,10.0,0.3,Polpa congelada_Julho_183
774.52,1035.75,POLPA-202507-8976,9.0,2.02,Polpa congelada_Julho_184
919.78,136.53,POLPA-202507-9830,6.0,2.46,Polpa congelada_Julho_185
343.03,22.81,POLPA-202507-9183,8.387342513917375,2.23,Polpa congelada_Julho_186
1049.42,334.13,POLPA-202507-7918,8.0,0.3,Polpa congelada_Julho_187
593.24,119.88,POLPA-202507-3248,9.0,2.73,Polpa congelada_Julho_188
482.81,241.81,POLPA-202507-7112,8.387342513917375,0.72,Polpa congelada_Julho_189
896.3,400.26,POLPA-202507-7648,9.0,2.39,Polpa congelada_Julho_190
427.39,178.39,POLPA-202507-7155,6.0,2.43,Polpa congelada_Julho_191
562.13,176.06,POLPA-202507-9942,10.0,0.83,Polpa congelada_Julho_192
817.55,272.85,POLPA-202507-2164,8.0,1.71,Polpa congelada_Julho_193
53.03,60.34,POLPA-202507-3967,8.0,2.66,Polpa congelada_Julho_194
486.49,32.65,POLPA-202507-6330,9.0,1.21,Polpa congelada_Julho_195
422.49,142.52,POLPA-202507-3225,7.0,1.07,Polpa congelada_Julho_196
116.12,22.07,POLPA-202507-2826,8.0,1.54,Polpa congelada_Julho_197
630.99,152.95,POLPA-202507-4923,9.0,0.61,Polpa congelada_Julho_198
667.59,308.37,POLPA-202507-9141,8.0,1.87,Polpa congelada_Julho_199
636.44,544.82,POLPA-202507-3177,8.0,1.85,Polpa congelada_Julho_200
575.59,152.04,POLPA-202507-9402,5.0,2.05,Polpa congelada_Julho_201
741.4,59.9,POLPA-202507-5956,9.0,3.01,Polpa congelada_Julho_202
1853.46,2.46,POLPA-202507-8443,7.0,1.47,Polpa congelada_Julho_203
1061.9,143.35,POLPA-202507-7279,8.0,0.71,Polpa congelada_Julho_204
244.75,4.49,POLPA-202507-3223,8.0,0.54,Polpa congelada_Julho_205
625.23,616.62,POLPA-202507-4600,9.0,1.7,Polpa congelada_Julho_206
427.57,113.51,POLPA-202507-1876,8.0,1.74,Polpa congelada_Julho_207
292.64,107.55,POLPA-202507-8568,7.0,3.07,Polpa congelada_Julho_208
1630.12,122.61,POLPA-202507-3488,8.0,2.36,Polpa congelada_Julho_209
329.99,31.96,POLPA-202507-1962,6.0,1.99,Polpa congelada_Julho_210
334.91,153.87,POLPA-202507-3678,8.0,2.71,Polpa congelada_Julho_211
868.26,213.61,POLPA-202507-2787,7.0,2.68,Polpa congelada_Julho_212
241.89,25.54,POLPA-202507-9568,9.0,1.26,Polpa congelada_Julho_213
145.77,34.03,POLPA-202507-8501,9.0,3.03,Polpa congelada_Julho_214
346.27,397.63,POLPA-202507-1123,8.387342513917375,0.31,Polpa congelada_Julho_215
96.65,15.46,POLPA-202507-2192,7.0,2.44,Polpa congelada_Julho_216
723.02,176.44,POLPA-202507-5075,10.0,1.46,Polpa congelada_Julho_217
141.9,27.78,POLPA-202507-2197,9.0,1.49,Polpa congelada_Julho_218
973.01,632.57,POLPA-202507-2644,8.0,2.93,Polpa congelada_Julho_219
650.3,317.47,POLPA-202507-6481,9.0,2.23,Polpa congelada_Julho_220
617.73,487.27,POLPA-202507-3595,8.0,2.84,Polpa congelada_Julho_221
353.99,0.19,POLPA-202507-3227,9.0,2.65,Polpa congelada_Julho_222
441.67,196.34738686131388,POLPA-202507-6326,8.0,2.05,Polpa congelada_Julho_223
335.63,56.41,POLPA-202507-1682,9.0,0.36,Polpa congelada_Julho_224
1161.58,40.41,POLPA-202507-1732,9.0,0.3,Polpa congelada_Julho_225
439.11,117.94,POLPA-202507-9005,8.0,2.18,Polpa congelada_Julho_226
156.12,65.73,POLPA-202507-4801,8.0,2.79,Polpa congelada_Julho_227
271.03,20.93,POLPA-202507-6133,6.0,1.3,Polpa congelada_Julho_228
573.21,420.39,POLPA-202507-3535,9.0,2.61,Polpa congelada_Julho_229
243.75,45.6,POLPA-202507-3754,9.0,1.6,Polpa congelada_Julho_230
110.5,2.98,POLPA-202507-4483,6.0,2.24,Polpa congelada_Julho_231
564.44,44.59,POLPA-202507-3711,9.0,2.49,Polpa congelada_Julho_232
1656.39,291.08,POLPA-202507-2589,9.0,0.8,Polpa congelada_Julho_233
321.13,31.64,POLPA-202507-7828,9.0,2.01,Polpa congelada_Julho_234
304.77,21.85,POLPA-202507-3226,7.0,1.67,Polpa congelada_Julho_235
111.22,43.64,POLPA-202507-5072,9.0,2.43,Polpa congelada_Julho_236
377.65,30.44,POLPA-202507-1052,8.0,1.31,Polpa congelada_Julho_237
701.57,10.69,POLPA-202507-3985,8.0,0.49,Polpa congelada_Julho_238
357.63,42.66,POLPA-202507-4528,7.0,1.77,Polpa congelada_Julho_239
577.35,121.39,POLPA-202507-7580,9.0,1.85,Polpa congelada_Julho_240
549.7,462.51,POLPA-202507-7003,8.0,1.37,Polpa congelada_Julho_241
299.44,86.81,POLPA-202507-8628,7.0,1.55,Polpa congelada_Julho_242
424.87,89.02,POLPA-202507-5754,8.0,2.05,Polpa congelada_Julho_243
445.82,65.32,POLPA-202507-3845,8.0,0.3,Polpa congelada_Julho_244
224.42,12.01,POLPA-202507-1282,8.0,0.72,Polpa congelada_Julho_245
814.29,708.17,POLPA-202507-5461,7.0,2.09,Polpa congelada_Julho_246
248.56,147.52,POLPA-202507-6493,9.0,0.83,Polpa congelada_Julho_247
610.19,61.57,POLPA-202507-8720,8.0,2.52,Polpa congelada_Julho_248
816.66,38.64,POLPA-202507-9908,8.0,3.79,Polpa congelada_Julho_249
220.08,271.32,POLPA-202507-4494,7.0,1.99,Polpa congelada_Julho_250
511.07,272.64,POLPA-202507-9570,7.0,2.56,Polpa congelada_Julho_251
1421.65,187.55,POLPA-202507-9609,9.0,4.31,Polpa congelada_Julho_252
1283.99,566.69,POLPA-202507-5768,7.0,1.63,Polpa congelada_Julho_253
637.09,163.54,POLPA-202507-6277,8.0,0.3,Polpa congelada_Julho_254
359.19,57.51,POLPA-202507-4147,8.0,1.2,Polpa congelada_Julho_255
202.11,275.61,POLPA-202507-7979,7.0,1.92,Polpa congelada_Julho_256
207.12,6.61,POLPA-202507-8244,9.0,1.42,Polpa congelada_Julho_257
701.09,239.95,POLPA-202507-2990,9.0,0.3,Polpa congelada_Julho_258
721.44,121.35,POLPA-202507-6512,9.0,2.45,Polpa congelada_Julho_259
1277.33,121.64,POLPA-202507-6205,8.387342513917375,3.2,Polpa congelada_Julho_260
970.41,38.59,POLPA-202507-1220,7.0,1.04,Polpa congelada_Julho_261
273.12,45.48,POLPA-202507-5720,8.0,2.09,Polpa congelada_Julho_262
1111.95,39.03,POLPA-202507-1861,9.0,0.97,Polpa congelada_Julho_263
578.7460611353711,167.61,POLPA-202507-5999,10.0,2.51,Polpa congelada_Julho_264
249.38,217.64,POLPA-202507-6199,8.0,1.07,Polpa congelada_Julho_265
1305.35,310.54,POLPA-202507-8462,9.0,2.16,Polpa congelada_Julho_266
369.2,42.83,POLPA-202507-2501,10.0,3.51,Polpa congelada_Julho_267
95.84,30.13,POLPA-202507-1682,8.0,1.32,Polpa congelada_Julho_268
491.84,107.87,POLPA-202507-3463,7.0,1.54,Polpa congelada_Julho_269
448.52,273.27,POLPA-202507-9181,7.0,1.99,Polpa congelada_Julho_270
474.01,168.78,POLPA-202507-2815,8.0,0.3,Polpa congelada_Julho_271
121.65,52.12,POLPA-202507-4098,10.0,2.17,Polpa congelada_Julho_272
270.4,143.18,POLPA-202507-5896,6.0,1.34,Polpa congelada_Julho_273
302.9,140.23,POLPA-202507-3878,9.0,1.96,Polpa congelada_Julho_274
207.05,125.02,POLPA-202507-7111,8.0,2.92,Polpa congelada_Julho_275
388.59,122.92,POLPA-202507-2840,7.0,0.93,Polpa congelada_Julho_276
85.48,0.8,POLPA-202507-8978,8.0,0.64,Polpa congelada_Julho_277
57.56,25.42,POLPA-202507-1368,9.0,2.62,Polpa congelada_Julho_278
131.96,57.96,POLPA-202507-8546,6.0,1.0,Polpa congelada_Julho_279
1267.59,848.7,POLPA-202507-5064,9.0,2.22,Polpa congelada_Julho_280
246.95,225.96,POLPA-202507-2689,7.0,2.16,Polpa congelada_Julho_281
930.88,12.14,POLPA-202507-8072,8.0,2.18,Polpa congelada_Julho_282
316.32,67.57,POLPA-202507-8845,8.0,2.15,Polpa congelada_Julho_283
492.49,397.92,POLPA-202507-1883,8.0,0.5,Polpa congelada_Julho_284
462.98,63.92,POLPA-202507-3753,9.0,1.19,Polpa congelada_Julho_285
951.12,505.03,POLPA-202507-2458,8.0,2.64,Polpa congelada_Julho_286
93.96,33.38,POLPA-202507-2024,8.0,2.63,Polpa congelada_Julho_287
147.04,30.45,POLPA-202507-6304,8.0,2.07,Polpa congelada_Julho_288
192.98,157.59,POLPA-202507-6523,7.0,1.61,Polpa congelada_Julho_289
327.07,173.41,POLPA-202507-7376,10.0,1.86,Polpa congelada_Julho_290
924.06,122.47,POLPA-202507-6630,9.0,1.8,Polpa congelada_Julho_291
685.43,116.98,POLPA-202507-4492,9.0,1.16,Polpa congelada_Julho_292
67.97,72.25,POLPA-202507-8686,7.0,2.83,Polpa congelada_Julho_293
770.09,196.34738686131388,POLPA-202507-9559,8.0,1.5,Polpa congelada_Julho_294
407.83,179.38,POLPA-202507-3762,9.0,2.94,Polpa congelada_Julho_295
382.12,127.32,POLPA-202507-7184,8.0,2.92,Polpa congelada_Julho_296
169.91,108.78,POLPA-202507-4848,10.0,2.01,Polpa congelada_Julho_297
685.94,218.62,POLPA-202507-9772,9.0,2.92,Polpa congelada_Julho_298
690.19,321.86,POLPA-202507-6717,10.0,1.65,Polpa congelada_Julho_299
171.02,9.34,POLPA-202507-4530,9.0,0.3,Polpa congelada_Julho_300
475.68,88.31,POLPA-202507-1084,7.0,0.47,Polpa congelada_Julho_301
446.59,236.38,POLPA-202507-4201,9.0,1.42,Polpa congelada_Julho_302
659.52,619.21,POLPA-202507-3386,9.0,3.46,Polpa congelada_Julho_303
731.25,494.8,POLPA-202507-6466,9.0,2.59,Polpa congelada_Julho_304
471.52,282.28,POLPA-202507-3798,10.0,2.6,Polpa congelada_Julho_305
441.2,16.81,POLPA-202507-3817,9.0,1.26,Polpa congelada_Julho_306
73.56,82.23,POLPA-202507-4232,9.0,2.78,Polpa congelada_Julho_307
900.34,306.24,POLPA-202507-5674,8.0,3.21,Polpa congelada_Julho_308
403.74,238.92,POLPA-202507-1453,7.0,0.5,Polpa congelada_Julho_309
212.96,2.35,POLPA-202507-1732,8.0,1.43,Polpa congelada_Julho_310
389.24,300.28,POLPA-202507-8671,9.0,1.38,Polpa congelada_Julho_311
71.72,44.63,POLPA-202507-6999,9.0,1.07,Polpa congelada_Julho_312
107.16,196.34738686131388,POLPA-202507-9514,9.0,2.02,Polpa congelada_Julho_313
443.62,149.48,POLPA-202507-5897,9.0,2.68,Polpa congelada_Julho_314
614.15,481.6,POLPA-202507-2528,9.0,2.61,Polpa congelada_Julho_315
229.74,328.07,POLPA-202507-6381,8.0,3.35,Polpa congelada_Julho_316
352.78,146.33,POLPA-202507-8431,8.0,3.26,Polpa congelada_Julho_317
578.7460611353711,24.05,POLPA-202507-6673,7.0,1.51,Polpa congelada_Julho_318
463.14,126.72,POLPA-202507-1237,7.0,0.7,Polpa congelada_Julho_319
1450.24,62.55,POLPA-202507-7589,7.0,1.33,Polpa congelada_Julho_320
436.08,180.38,POLPA-202507-3068,9.0,2.39,Polpa congelada_Julho_321
94.23,7.96,POLPA-202507-4036,8.0,2.85,Polpa congelada_Julho_322
835.21,23.55,POLPA-202507-7691,8.0,1.52,Polpa congelada_Julho_323
229.96,70.58,POLPA-202507-8210,9.0,1.62,Polpa congelada_Julho_324
618.22,203.01,POLPA-202507-8162,8.0,0.36,Polpa congelada_Julho_325
781.44,413.45,POLPA-202507-4559,9.0,2.04,Polpa congelada_Julho_326
456.55,235.86,POLPA-202507-4261,8.0,2.81,Polpa congelada_Julho_327
194.92,5.5,POLPA-202507-7977,8.0,2.79,Polpa congelada_Julho_328
408.05,237.68,POLPA-202507-9489,9.0,2.48,Polpa congelada_Julho_329
422.15,134.95,POLPA-202507-2350,9.0,3.27,Polpa congelada_Julho_330
674.17,168.56,POLPA-202507-5729,9.0,1.84,Polpa congelada_Julho_331
846.5,153.87,POLPA-202507-9480,9.0,2.48,Polpa congelada_Julho_332
679.02,162.56,POLPA-202507-1020,9.0,1.83,Polpa congelada_Julho_333
266.15,156.85,POLPA-202507-9281,10.0,1.68,Polpa congelada_Julho_334
