data_pedido,tipo_produto,mes_do_ano,mes_do_ano_num,canal,regiao_destino,cliente_segmento,quantidade_kg,preco_unitario_brl_kg,nps_0a10,id_pedido
2025-07-23,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de ingredientes,131.72,9.23,8.0,Polpa congelada_Julho_138
2025-07-10,Polpa congelada,Julho,7,Distribuidor,Norte,Central de compras,324.24,13.48,7.0,Polpa congelada_Julho_139
2025-07-07,Polpa congelada,Julho,7,Food Service,Nordeste,Cafeterias,505.34,6.96,9.0,Polpa congelada_Julho_140
2025-07-16,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Distribuidor food service,391.84,10.66,8.0,Polpa congelada_Julho_141
2025-07-31,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (EUA),785.96,10.18,6.0,Polpa congelada_Julho_142
2025-07-25,Polpa congelada,Julho,7,Exportacao,Exterior,,639.65,11.84,6.0,Polpa congelada_Julho_143
2025-07-23,Polpa congelada,Julho,7,Varejo,Nordeste,E-commerce,385.77,9.88,9.0,Polpa congelada_Julho_144
2025-07-31,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (LATAM),852.53,7.9,9.0,Polpa congelada_Julho_145
2025-07-30,Polpa congelada,Julho,7,Industria,Sul,Indústria de laticínios,745.62,9.77,9.0,Polpa congelada_Julho_146
2025-07-11,Polpa congelada,Julho,7,Distribuidor,Sudeste,,147.37,10.73,9.0,Polpa congelada_Julho_147
2025-07-16,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,476.42,12.28,7.0,Polpa congelada_Julho_148
2025-07-12,Polpa congelada,Julho,7,Varejo,Sudeste,E-commerce,655.74,12.81,9.0,Polpa congelada_Julho_149
2025-07-25,Polpa congelada,Julho,7,Food Service,Norte,Açaíterias,286.11,13.13,9.0,Polpa congelada_Julho_150
2025-07-22,Polpa congelada,Julho,7,Food Service,Norte,Confeitarias,458.3,7.69,10.0,Polpa congelada_Julho_151
2025-07-23,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,434.52,8.34,8.0,Polpa congelada_Julho_152
2025-07-31,Polpa congelada,Julho,7,Distribuidor,Sudeste,Operador logístico,827.15,12.11,8.0,Polpa congelada_Julho_153
2025-07-09,Polpa congelada,Julho,7,Industria,Norte,Indústria de bebidas,745.4,9.83,7.0,Polpa congelada_Julho_154
2025-07-25,Polpa congelada,Julho,7,Food Service,Sul,Hotéis,120.59,12.9,9.0,Polpa congelada_Julho_155
2025-07-10,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor regional,936.38,7.61,7.0,Polpa congelada_Julho_156
2025-07-12,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de alimentos,964.61,11.06,7.0,Polpa congelada_Julho_157
2025-07-08,Polpa congelada,Julho,7,Industria,Sul,Indústria de alimentos,195.87,6.43,10.0,Polpa congelada_Julho_158
2025-07-07,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,623.18,10.57,6.0,Polpa congelada_Julho_159
2025-07-10,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor regional,236.35,12.52,7.0,Polpa congelada_Julho_160
2025-07-28,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,321.33,6.12,7.0,Polpa congelada_Julho_161
2025-07-21,Polpa congelada,Julho,7,Food Service,Nordeste,Açaíterias,783.41,11.55,8.0,Polpa congelada_Julho_162
2025-07-12,Polpa congelada,Julho,7,Distribuidor,Nordeste,Distribuidor food service,940.34,13.78,8.0,Polpa congelada_Julho_163
2025-07-18,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de bebidas,173.34,8.12,8.0,Polpa congelada_Julho_164
2025-07-05,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de laticínios,718.68,10.35,9.0,Polpa congelada_Julho_165
2025-07-29,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Restaurantes,405.2,8.27,8.0,Polpa congelada_Julho_166
2025-07-07,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor regional,280.72,9.57,7.0,Polpa congelada_Julho_167
2025-07-04,Polpa congelada,Julho,7,Distribuidor,Nordeste,Atacadista,352.73,9.32,7.0,Polpa congelada_Julho_168
2025-07-20,Polpa congelada,Julho,7,Distribuidor,Nordeste,Distribuidor food service,928.56,13.12,9.0,Polpa congelada_Julho_169
2025-07-22,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (MENA),625.47,13.55,9.0,Polpa congelada_Julho_170
2025-07-05,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Distribuidor regional,130.81,10.4,6.0,Polpa congelada_Julho_171
2025-07-06,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de sorvetes,470.64,12.58,5.0,Polpa congelada_Julho_172
2025-07-08,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de laticínios,814.76,10.96,9.0,Polpa congelada_Julho_173
2025-07-09,Polpa congelada,Julho,7,Varejo,Sudeste,E-commerce,503.5,11.59,9.0,Polpa congelada_Julho_174
2025-07-20,Polpa congelada,Julho,7,Distribuidor,Sul,Operador logístico,440.5,6.34,9.0,Polpa congelada_Julho_175
2025-07-30,Polpa congelada,Julho,7,Food Service,Sudeste,Restaurantes,847.7,9.74,10.0,Polpa congelada_Julho_176
2025-07-27,Polpa congelada,Julho,7,Exportacao,Exterior,Trading,487.8,14.56,,Polpa congelada_Julho_177
2025-07-12,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de alimentos,662.16,11.96,8.0,Polpa congelada_Julho_178
2025-07-16,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Central de compras,658.68,11.9,8.0,Polpa congelada_Julho_179
2025-07-29,Polpa congelada,Julho,7,Varejo,Nordeste,Empórios,566.18,14.63,7.0,Polpa congelada_Julho_180
2025-07-23,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de laticínios,245.27,11.95,9.0,Polpa congelada_Julho_181
2025-07-03,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de ingredientes,220.74,10.43,7.0,Polpa congelada_Julho_182
2025-07-08,Polpa congelada,Julho,7,Varejo,Nordeste,E-commerce,626.83,11.32,7.0,Polpa congelada_Julho_183
2025-07-26,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de sorvetes,1093.59,12.23,6.0,Polpa congelada_Julho_184
2025-07-11,Polpa congelada,Julho,7,Food Service,Nordeste,Açaíterias,684.62,12.41,9.0,Polpa congelada_Julho_185
2025-07-15,Polpa congelada,Julho,7,Food Service,Sudeste,Confeitarias,523.84,6.47,10.0,Polpa congelada_Julho_186
2025-07-12,Polpa congelada,Julho,7,Distribuidor,Sudeste,Atacadista,744.55,12.7,8.0,Polpa congelada_Julho_187
2025-07-31,Polpa congelada,Julho,7,Food Service,Sudeste,Açaíterias,574.39,8.74,8.0,Polpa congelada_Julho_188
2025-07-08,Polpa congelada,Julho,7,Varejo,Sul,E-commerce,743.75,11.08,7.0,Polpa congelada_Julho_189
2025-07-18,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de laticínios,1026.42,10.05,10.0,Polpa congelada_Julho_190
2025-07-03,Polpa congelada,Julho,7,Food Service,Sul,Hotéis,762.21,7.17,,Polpa congelada_Julho_191
2025-07-19,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de bebidas,540.77,8.4,8.0,Polpa congelada_Julho_192
2025-07-28,Polpa congelada,Julho,7,Distribuidor,Nordeste,Atacadista,849.48,8.58,8.0,Polpa congelada_Julho_193
2025-07-07,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,130.04,7.71,10.0,Polpa congelada_Julho_194
2025-07-28,Polpa congelada,Julho,7,Distribuidor,Nordeste,Atacadista,1053.02,6.27,8.0,Polpa congelada_Julho_195
2025-07-18,Polpa congelada,Julho,7,Food Service,Sul,Hotéis,423.49,8.57,9.0,Polpa congelada_Julho_196
2025-07-31,Polpa congelada,Julho,7,Food Service,Nordeste,Açaíterias,207.68,6.75,9.0,Polpa congelada_Julho_197
2025-07-25,Polpa congelada,Julho,7,Industria,Sul,Indústria de alimentos,659.58,8.72,9.0,Polpa congelada_Julho_198
2025-07-01,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de sorvetes,749.47,12.39,7.0,Polpa congelada_Julho_199
2025-07-12,Polpa congelada,Julho,7,Distribuidor,Norte,Atacadista,774.79,10.6,7.0,Polpa congelada_Julho_200
2025-07-22,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (LATAM),313.7,11.23,10.0,Polpa congelada_Julho_201
2025-07-29,Polpa congelada,Julho,7,Varejo,Nordeste,Empórios,552.96,10.23,7.0,Polpa congelada_Julho_202
2025-07-18,Polpa congelada,Julho,7,Exportacao,Exterior,Trading,681.65,13.51,8.0,Polpa congelada_Julho_203
2025-07-09,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor regional,883.15,10.19,9.0,Polpa congelada_Julho_204
2025-07-30,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,384.3,8.38,10.0,Polpa congelada_Julho_205
2025-07-05,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de bebidas,957.96,10.67,9.0,Polpa congelada_Julho_206
2025-07-31,Polpa congelada,Julho,7,Industria,Norte,Indústria de sorvetes,468.66,6.52,9.0,Polpa congelada_Julho_207
2025-07-03,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de laticínios,540.38,6.95,8.0,Polpa congelada_Julho_208
