teor_umidade_pct,indice_acidez_mgKOH_g,ponto_fusao_c,indice_oxidacao_1a10,certificacao_exigida,id_pedido
0.44,5.04,35.89,9.0,ISO-HACCP,Manteiga de manga_Julho_54
0.29,5.07,36.16,10.0,ISO-HACCP,Manteiga de manga_Julho_55
0.16,4.48,34.37,5.0,Internacional,Manteiga de manga_Julho_56
0.46,3.57,32.02,7.0,ISO-HACCP,Manteiga de manga_Julho_57
0.73,5.07,29.47,8.0,Internacional,Manteiga de manga_Julho_58
0.89,7.48,30.34,8.0,Internacional,Manteiga de manga_Julho_59
0.1,4.86,33.17,6.0,ISO-HACCP,Manteiga de manga_Julho_60
0.41,5.66,31.72,8.0,Internacional,Manteiga de manga_Julho_61
0.46,5.43,30.68,8.0,Nenhuma,Manteiga de manga_Julho_62
0.37,3.27,35.81,10.0,Internacional,Manteiga de manga_Julho_63
0.64,5.09,31.87,9.0,Nenhuma,Manteiga de manga_Julho_64
0.85,7.29,35.76,7.0,ANVISA,Manteiga de manga_Julho_65
0.33,5.35,34.77,8.0,ISO-HACCP,Manteiga de manga_Julho_66
0.4,3.47,34.95,9.0,Internacional,Manteiga de manga_Julho_67
1.11,6.56,35.79,9.0,ISO-HACCP,Manteiga de manga_Julho_68
0.72,5.14,30.33,10.0,Internacional,Manteiga de manga_Julho_69
0.28,6.08,33.63,8.0,ANVISA,Manteiga de manga_Julho_70
0.64,5.11,34.73,9.0,Nenhuma,Manteiga de manga_Julho_71
0.97,4.41,33.68,8.0,Internacional,Manteiga de manga_Julho_72
0.51,3.93,32.13,8.0,Internacional,Manteiga de manga_Julho_73
0.38,2.43,30.81,10.0,ANVISA,Manteiga de manga_Julho_74
0.47,5.83,33.38,8.0,ISO-HACCP,Manteiga de manga_Julho_75
0.65,9.2,32.85,8.0,Internacional,Manteiga de manga_Julho_76
0.77,4.81,36.35,8.0,ISO-HACCP,Manteiga de manga_Julho_77
0.38,4.44,32.82,8.0,ANVISA,Manteiga de manga_Julho_78
0.13,3.67,35.16,8.0,ANVISA,Manteiga de manga_Julho_79
0.64,4.43,34.88,10.0,Nenhuma,Manteiga de manga_Julho_80
0.93,5.49,33.84,8.0,ISO-HACCP,Manteiga de manga_Julho_81
0.53,4.78,29.08,7.0,ISO-HACCP,Manteiga de manga_Julho_82
0.52,1.36,35.39,8.0,ANVISA,Manteiga de manga_Julho_83
0.57,6.79,32.51,7.0,Internacional,Manteiga de manga_Julho_84
0.89,3.14,36.67,10.0,ISO-HACCP,Manteiga de manga_Julho_85
0.53,5.77,37.51,6.0,ANVISA,Manteiga de manga_Julho_86
0.38,3.37,31.74,8.0,Internacional,Manteiga de manga_Julho_87
0.65,4.81,36.32,8.0,ISO-HACCP,Manteiga de manga_Julho_88
0.53,2.51,35.49,9.0,ANVISA,Manteiga de manga_Julho_89
0.37,3.29,34.4,8.0,ISO-HACCP,Manteiga de manga_Julho_90
0.71,1.94,34.88,9.0,Internacional,Manteiga de manga_Julho_91
0.62,1.82,31.57,6.0,ISO-HACCP,Manteiga de manga_Julho_92
0.74,4.22,33.18,8.0,,Manteiga de manga_Julho_93
1.02,3.78,30.58,8.0,,Manteiga de manga_Julho_94
0.5,6.29,31.0,10.0,ANVISA,Manteiga de manga_Julho_95
0.57,1.41,36.64,9.0,ANVISA,Manteiga de manga_Julho_96
0.48,3.56,33.58,9.0,Nenhuma,Manteiga de manga_Julho_97
0.53,5.06,34.19,8.0,ANVISA,Manteiga de manga_Julho_98
1.05,4.98,34.62,6.0,ISO-HACCP,Manteiga de manga_Julho_99
0.59,2.32,31.01,7.0,ISO-HACCP,Manteiga de manga_Julho_100
0.42,3.67,35.01,7.0,ISO-HACCP,Manteiga de manga_Julho_101
0.63,6.72,30.76,10.0,ANVISA,Manteiga de manga_Julho_102
0.7,3.32,30.33,8.0,ANVISA,Manteiga de manga_Julho_103
0.2,1.69,33.62,7.0,ANVISA,Manteiga de manga_Julho_104
0.8,4.06,30.91,7.0,ANVISA,Manteiga de manga_Julho_105
0.1,2.47,33.36,9.0,ANVISA,Manteiga de manga_Julho_106
0.4,2.38,30.49,8.0,Nenhuma,Manteiga de manga_Julho_107
0.88,3.52,32.8,7.0,ISO-HACCP,Manteiga de manga_Julho_108
0.54,4.37,34.3,7.0,ANVISA,Manteiga de manga_Julho_109
0.88,3.29,30.3,9.0,,Manteiga de manga_Julho_110
0.67,2.65,33.52,7.0,Internacional,Manteiga de manga_Julho_111
0.49,4.7,29.75,8.0,ANVISA,Manteiga de manga_Julho_112
0.41,3.14,36.99,10.0,ANVISA,Manteiga de manga_Julho_113
0.42,3.92,32.17,5.0,ANVISA,Manteiga de manga_Julho_114
0.42,2.73,36.94,10.0,ISO-HACCP,Manteiga de manga_Julho_115
0.38,3.26,34.96,8.0,ISO-HACCP,Manteiga de manga_Julho_116
0.31,4.95,31.77,7.0,ISO-HACCP,Manteiga de manga_Julho_117
0.73,4.82,31.48,8.0,ANVISA,Manteiga de manga_Julho_118
0.76,4.16,33.66,7.0,ANVISA,Manteiga de manga_Julho_119
1.02,1.82,36.02,9.0,ANVISA,Manteiga de manga_Julho_120
0.96,2.67,35.25,9.0,ANVISA,Manteiga de manga_Julho_121
0.85,3.83,35.62,6.0,ISO-HACCP,Manteiga de manga_Julho_122
0.95,6.56,36.26,9.0,Internacional,Manteiga de manga_Julho_123
0.74,4.72,34.6,9.0,Nenhuma,Manteiga de manga_Julho_124
0.97,4.73,31.98,9.0,ISO-HACCP,Manteiga de manga_Julho_125
1.34,3.65,29.7,9.0,ISO-HACCP,Manteiga de manga_Julho_126
0.16,8.64,35.89,8.0,ISO-HACCP,Manteiga de manga_Julho_127
0.71,5.7,31.16,6.0,ANVISA,Manteiga de manga_Julho_128
0.68,4.76,34.15,7.0,ISO-HACCP,Manteiga de manga_Julho_129
0.5,2.55,30.75,10.0,Internacional,Manteiga de manga_Julho_130
0.25,1.09,33.83,10.0,ANVISA,Manteiga de manga_Julho_131
0.26,3.25,34.72,8.0,Internacional,Manteiga de manga_Julho_132
0.19,6.34,35.4,9.0,Internacional,Manteiga de manga_Julho_133
0.31,2.31,35.32,7.826709526592636,Internacional,Manteiga de manga_Julho_134
1.06,6.06,35.93,8.0,ISO-HACCP,Manteiga de manga_Julho_135
0.42,5.2,35.15,6.0,ANVISA,Manteiga de manga_Julho_136
0.72,3.88,32.47,7.0,Internacional,Manteiga de manga_Julho_137
0.29,5.21,36.04,6.0,ISO-HACCP,Manteiga de manga_Julho_138
0.37,1.6,31.88,8.0,Internacional,Manteiga de manga_Julho_139
0.72,2.55,34.01,6.0,ANVISA,Manteiga de manga_Julho_140
1.33,4.1,28.0,7.0,ANVISA,Manteiga de manga_Julho_141
0.1,4.84,32.83,8.0,ANVISA,Manteiga de manga_Julho_142
0.82,4.04,30.31,7.0,ANVISA,Manteiga de manga_Julho_143
0.1,5.76,28.0,8.0,ANVISA,Manteiga de manga_Julho_144
0.13,4.83,30.71,8.0,ISO-HACCP,Manteiga de manga_Julho_145
0.72,6.69,32.22,7.826709526592636,ISO-HACCP,Manteiga de manga_Julho_146
0.46,4.81,36.53,9.0,ANVISA,Manteiga de manga_Julho_147
0.57,3.24,32.52,8.0,ANVISA,Manteiga de manga_Julho_148
0.1,3.37,32.04,9.0,ANVISA,Manteiga de manga_Julho_149
0.33,4.75,32.65,8.0,ISO-HACCP,Manteiga de manga_Julho_150
0.85,4.64,34.42,7.0,Internacional,Manteiga de manga_Julho_151
0.68,4.15,33.34,8.0,ANVISA,Manteiga de manga_Julho_152
0.35,2.03,34.81,7.0,Internacional,Manteiga de manga_Julho_153
0.68,2.78,34.18,8.0,ANVISA,Manteiga de manga_Julho_154
0.24,6.04,33.46,8.0,Internacional,Manteiga de manga_Julho_155
0.71,5.04,34.99,9.0,Nenhuma,Manteiga de manga_Julho_156
0.93,4.34,33.78,9.0,ANVISA,Manteiga de manga_Julho_157
0.62,4.77,30.46,7.0,ISO-HACCP,Manteiga de manga_Julho_158
0.81,3.64,33.35,8.0,ISO-HACCP,Manteiga de manga_Julho_159
0.39,4.85,33.22,8.0,Internacional,Manteiga de manga_Julho_160
0.5,4.6,30.23,10.0,Internacional,Manteiga de manga_Julho_161
0.1,5.21,36.74,7.0,ISO-HACCP,Manteiga de manga_Julho_162
0.35,4.77,31.65,7.0,ISO-HACCP,Manteiga de manga_Julho_163
1.0,4.28,34.25,7.0,Internacional,Manteiga de manga_Julho_164
0.58,3.82,30.71,7.0,Internacional,Manteiga de manga_Julho_165
0.23,1.15,34.48,7.0,ISO-HACCP,Manteiga de manga_Julho_166
0.58,2.02,34.5,9.0,ANVISA,Manteiga de manga_Julho_167
0.43,5.19,32.88,7.826709526592636,Internacional,Manteiga de manga_Julho_168
1.16,4.57,33.22,8.0,ISO-HACCP,Manteiga de manga_Julho_169
0.57,5.68,36.35,7.826709526592636,,Manteiga de manga_Julho_170
0.75,1.94,32.3,8.0,Internacional,Manteiga de manga_Julho_171
0.7,6.28,34.65,6.0,ISO-HACCP,Manteiga de manga_Julho_172
0.1,4.57,31.72,10.0,ISO-HACCP,Manteiga de manga_Julho_173
0.38,4.88,38.88,6.0,ISO-HACCP,Manteiga de manga_Julho_174
0.83,2.55,33.41,7.0,ANVISA,Manteiga de manga_Julho_175
0.77,5.35,34.59,6.0,ANVISA,Manteiga de manga_Julho_176
0.1,6.14,32.14,9.0,Nenhuma,Manteiga de manga_Julho_177
0.28,4.91,28.75,9.0,ISO-HACCP,Manteiga de manga_Julho_178
0.5,2.4,32.44,7.0,ANVISA,Manteiga de manga_Julho_179
0.81,3.44,31.75,5.0,Internacional,Manteiga de manga_Julho_180
0.64,4.7,34.38,8.0,Internacional,Manteiga de manga_Julho_181
0.37,5.18,31.98,9.0,ANVISA,Manteiga de manga_Julho_182
0.6,4.9,33.15,8.0,ISO-HACCP,Manteiga de manga_Julho_183
0.75,3.88,32.14,7.0,ISO-HACCP,Manteiga de manga_Julho_184
0.5,4.1,32.11,6.0,Nenhuma,Manteiga de manga_Julho_185
0.56,3.95,31.81,8.0,ISO-HACCP,Manteiga de manga_Julho_186
0.56,2.2,33.98,7.0,ISO-HACCP,Manteiga de manga_Julho_187
0.57,1.0,30.8,9.0,Internacional,Manteiga de manga_Julho_188
0.66,5.28,32.08,9.0,Internacional,Manteiga de manga_Julho_189
0.73,5.24,30.36,7.0,Internacional,Manteiga de manga_Julho_190
0.63,2.29,31.74,7.826709526592636,ISO-HACCP,Manteiga de manga_Julho_191
0.58,1.78,34.85,10.0,ISO-HACCP,Manteiga de manga_Julho_192
0.64,4.32,32.07,9.0,ISO-HACCP,Manteiga de manga_Julho_193
0.8,5.46,35.42,6.0,Internacional,Manteiga de manga_Julho_194
0.31,2.39,29.75,6.0,Internacional,Manteiga de manga_Julho_195
0.83,6.26,32.79,8.0,ISO-HACCP,Manteiga de manga_Julho_196
0.55,6.6,32.3,9.0,ISO-HACCP,Manteiga de manga_Julho_197
0.58,3.42,32.45,7.0,Internacional,Manteiga de manga_Julho_198
0.75,6.32,32.43,6.0,Internacional,Manteiga de manga_Julho_199
0.29,3.55,32.17,6.0,ANVISA,Manteiga de manga_Julho_200
0.84,7.66,34.49,8.0,Internacional,Manteiga de manga_Julho_201
0.73,2.49,32.52,7.826709526592636,ANVISA,Manteiga de manga_Julho_202
0.36,7.69,32.38,7.0,ISO-HACCP,Manteiga de manga_Julho_203
0.45,4.22,32.03,7.0,ISO-HACCP,Manteiga de manga_Julho_204
1.14,3.87,31.19,9.0,Internacional,Manteiga de manga_Julho_205
0.6,6.69,34.39,9.0,Internacional,Manteiga de manga_Julho_206
0.66,5.17,30.19,4.0,ISO-HACCP,Manteiga de manga_Julho_207
0.77,3.73,28.46,10.0,Internacional,Manteiga de manga_Julho_208
0.38,7.06,31.92,8.0,Internacional,Manteiga de manga_Julho_209
0.66,5.73,33.14,9.0,ISO-HACCP,Manteiga de manga_Julho_210
0.71,3.85,30.41,8.0,Internacional,Manteiga de manga_Julho_211
0.18,4.29,32.53,6.0,Internacional,Manteiga de manga_Julho_212
0.45,6.84,32.67,9.0,Nenhuma,Manteiga de manga_Julho_213
0.3,2.12,30.02,8.0,ISO-HACCP,Manteiga de manga_Julho_214
0.34,6.12,36.31,8.0,Internacional,Manteiga de manga_Julho_215
0.38,1.0,28.43,7.0,ISO-HACCP,Manteiga de manga_Julho_216
0.75,2.45,33.81,10.0,Internacional,Manteiga de manga_Julho_217
0.59,5.94,32.66,8.0,ISO-HACCP,Manteiga de manga_Julho_218
0.47,5.09,32.16,8.0,ANVISA,Manteiga de manga_Julho_219
0.71,4.54,31.24,7.0,Internacional,Manteiga de manga_Julho_220
0.61,3.33,31.12,10.0,Internacional,Manteiga de manga_Julho_221
0.46,5.44,33.43,8.0,ISO-HACCP,Manteiga de manga_Julho_222
0.57,4.19,39.3,10.0,Internacional,Manteiga de manga_Julho_223
0.5,2.36,32.84,7.0,Internacional,Manteiga de manga_Julho_224
0.7,5.13,35.04,9.0,ANVISA,Manteiga de manga_Julho_225
0.5,4.21,36.92,7.0,Nenhuma,Manteiga de manga_Julho_226
0.42,5.89,29.31,10.0,ISO-HACCP,Manteiga de manga_Julho_227
0.62,4.42,33.57,8.0,Internacional,Manteiga de manga_Julho_228
0.7,7.12,34.33,8.0,Internacional,Manteiga de manga_Julho_229
0.52,3.69,32.23,7.0,ANVISA,Manteiga de manga_Julho_230
0.81,7.28,34.19,8.0,ISO-HACCP,Manteiga de manga_Julho_231
0.7,5.51,34.43,6.0,Internacional,Manteiga de manga_Julho_232
0.92,4.59,33.8,7.0,ANVISA,Manteiga de manga_Julho_233
0.63,1.59,35.75,10.0,ISO-HACCP,Manteiga de manga_Julho_234
0.46,3.37,36.18,8.0,ISO-HACCP,Manteiga de manga_Julho_235
0.6,3.2,28.45,8.0,Internacional,Manteiga de manga_Julho_236
0.56,4.56,31.55,9.0,ISO-HACCP,Manteiga de manga_Julho_237
0.85,6.32,32.2,7.826709526592636,Nenhuma,Manteiga de manga_Julho_238
0.43,2.82,33.14,7.0,Internacional,Manteiga de manga_Julho_239
0.79,4.75,32.81,7.0,Internacional,Manteiga de manga_Julho_240
1.15,2.56,33.73,9.0,ISO-HACCP,Manteiga de manga_Julho_241
0.88,3.97,32.11,10.0,Nenhuma,Manteiga de manga_Julho_242
0.5,7.46,31.08,9.0,ANVISA,Manteiga de manga_Julho_243
0.75,3.07,34.62,8.0,ANVISA,Manteiga de manga_Julho_244
0.45,7.05,36.37,8.0,ISO-HACCP,Manteiga de manga_Julho_245
0.67,5.72,32.19,10.0,ANVISA,Manteiga de manga_Julho_246
0.8,3.97,33.38,9.0,Internacional,Manteiga de manga_Julho_247
0.73,5.69,36.15,7.0,Internacional,Manteiga de manga_Julho_248
0.62,4.09,34.3,8.0,ISO-HACCP,Manteiga de manga_Julho_249
0.72,5.26,36.53,6.0,ISO-HACCP,Manteiga de manga_Julho_250
0.56,4.4,31.94,6.0,ANVISA,Manteiga de manga_Julho_251
0.73,5.6,33.22,9.0,ISO-HACCP,Manteiga de manga_Julho_252
0.49,3.31,39.45,9.0,ISO-HACCP,Manteiga de manga_Julho_253
0.8,3.25,30.11,8.0,Internacional,Manteiga de manga_Julho_254
0.48,7.27,33.74,8.0,ANVISA,Manteiga de manga_Julho_255
0.43,5.87,31.95,9.0,ANVISA,Manteiga de manga_Julho_256
0.35,2.92,34.34,8.0,ANVISA,Manteiga de manga_Julho_257
0.58,3.47,35.87,8.0,Internacional,Manteiga de manga_Julho_258
0.47,4.04,32.43,6.0,ISO-HACCP,Manteiga de manga_Julho_259
0.22,8.35,31.62,10.0,ISO-HACCP,Manteiga de manga_Julho_260
0.12,9.5,30.15,8.0,,Manteiga de manga_Julho_261
0.34,3.63,32.46,7.826709526592636,Internacional,Manteiga de manga_Julho_262
0.65,2.16,31.23,7.0,ANVISA,Manteiga de manga_Julho_263
0.58,3.89,32.67,8.0,ANVISA,Manteiga de manga_Julho_264
0.33,5.49,34.37,8.0,ANVISA,Manteiga de manga_Julho_265
0.65,3.61,28.43,9.0,ISO-HACCP,Manteiga de manga_Julho_266
0.87,2.81,28.9,8.0,ANVISA,Manteiga de manga_Julho_267
0.86,7.21,32.64,6.0,Internacional,Manteiga de manga_Julho_268
0.61,6.75,35.65,8.0,ISO-HACCP,Manteiga de manga_Julho_269
0.93,4.18,34.21,8.0,ISO-HACCP,Manteiga de manga_Julho_270
0.7,5.13,31.98,5.0,ANVISA,Manteiga de manga_Julho_271
0.82,4.95,31.08,9.0,ISO-HACCP,Manteiga de manga_Julho_272
0.58,1.49,30.69,7.0,ISO-HACCP,Manteiga de manga_Julho_273
0.23,5.46,35.02,9.0,Nenhuma,Manteiga de manga_Julho_274
1.14,4.53,33.62,6.0,ISO-HACCP,Manteiga de manga_Julho_275
0.93,1.83,35.16,7.0,ANVISA,Manteiga de manga_Julho_276
0.47,2.57,36.04,7.826709526592636,ISO-HACCP,Manteiga de manga_Julho_277
0.42,3.73,32.97,9.0,ANVISA,Manteiga de manga_Julho_278
0.15,5.44,33.12,8.0,ISO-HACCP,Manteiga de manga_Julho_279
0.34,2.65,36.36,8.0,Internacional,Manteiga de manga_Julho_280
0.42,6.97,36.94,7.0,ANVISA,Manteiga de manga_Julho_281
0.55,3.24,35.47,8.0,Internacional,Manteiga de manga_Julho_282
0.89,1.0,34.02,8.0,Internacional,Manteiga de manga_Julho_283
0.71,4.52,30.85,8.0,ISO-HACCP,Manteiga de manga_Julho_284
0.58,7.22,33.13,7.0,ISO-HACCP,Manteiga de manga_Julho_285
0.29,3.22,30.46,8.0,ISO-HACCP,Manteiga de manga_Julho_286
0.26,5.9,36.37,8.0,Internacional,Manteiga de manga_Julho_287
0.52,5.17,32.63,6.0,,Manteiga de manga_Julho_288
0.79,6.55,32.97,7.0,ISO-HACCP,Manteiga de manga_Julho_289
0.13,3.44,34.8,9.0,Internacional,Manteiga de manga_Julho_290
0.48,1.17,33.61,8.0,ANVISA,Manteiga de manga_Julho_291
0.56,3.19,33.37,8.0,ISO-HACCP,Manteiga de manga_Julho_292
0.63,6.93,31.05,7.0,Internacional,Manteiga de manga_Julho_293
0.5,1.75,33.76,7.0,ANVISA,Manteiga de manga_Julho_294
0.95,3.95,33.86,8.0,ISO-HACCP,Manteiga de manga_Julho_295
0.68,4.15,34.04,6.0,ANVISA,Manteiga de manga_Julho_296
0.72,6.08,33.08,8.0,ISO-HACCP,Manteiga de manga_Julho_297
0.66,4.96,33.13,6.0,ANVISA,Manteiga de manga_Julho_298
0.94,4.87,33.3,6.0,ANVISA,Manteiga de manga_Julho_299
0.69,6.0,32.16,8.0,Internacional,Manteiga de manga_Julho_300
0.54,6.18,32.76,7.0,ANVISA,Manteiga de manga_Julho_301
0.82,5.13,31.7,7.0,Internacional,Manteiga de manga_Julho_302
0.35,1.0,34.0,9.0,Internacional,Manteiga de manga_Julho_303
0.81,2.93,32.26,8.0,Internacional,Manteiga de manga_Julho_304
0.81,3.24,31.62,8.0,ANVISA,Manteiga de manga_Julho_305
0.58,2.37,32.19,7.0,Internacional,Manteiga de manga_Julho_306
0.52,2.41,31.85,8.0,ANVISA,Manteiga de manga_Julho_307
0.87,3.71,31.42,8.0,ISO-HACCP,Manteiga de manga_Julho_308
0.54,4.78,36.42,10.0,ISO-HACCP,Manteiga de manga_Julho_309
0.66,5.95,29.11,10.0,Nenhuma,Manteiga de manga_Julho_310
0.74,3.2,29.82,6.0,ANVISA,Manteiga de manga_Julho_311
0.51,3.98,30.25,6.0,ISO-HACCP,Manteiga de manga_Julho_312
0.93,4.55,31.01,10.0,Internacional,Manteiga de manga_Julho_313
1.09,5.82,36.25,8.0,ISO-HACCP,Manteiga de manga_Julho_314
0.39,4.13,32.17,7.0,ISO-HACCP,Manteiga de manga_Julho_315
0.52,3.93,33.28,9.0,ANVISA,Manteiga de manga_Julho_316
0.72,1.0,29.43,7.0,ISO-HACCP,Manteiga de manga_Julho_317
0.47,4.33,31.62,7.826709526592636,ANVISA,Manteiga de manga_Julho_318
0.34,5.51,33.63,7.0,Internacional,Manteiga de manga_Julho_319
0.39,3.73,32.1,8.0,ISO-HACCP,Manteiga de manga_Julho_320
0.19,3.99,35.51,8.0,ISO-HACCP,Manteiga de manga_Julho_321
0.47,3.86,38.43,8.0,ANVISA,Manteiga de manga_Julho_322
0.37,9.42,31.99,7.0,Nenhuma,Manteiga de manga_Julho_323
0.4,2.43,33.1,7.0,ISO-HACCP,Manteiga de manga_Julho_324
0.73,5.87,34.53,6.0,ISO-HACCP,Manteiga de manga_Julho_325
0.29,5.8,33.11,6.0,ANVISA,Manteiga de manga_Julho_326
0.29,2.91,34.82,9.0,ANVISA,Manteiga de manga_Julho_327
0.96,1.4,31.74,6.0,Internacional,Manteiga de manga_Julho_328
0.57,4.84,35.57,10.0,Nenhuma,Manteiga de manga_Julho_329
0.72,1.96,31.09,9.0,Internacional,Manteiga de manga_Julho_330
0.76,4.9,36.63,7.0,Internacional,Manteiga de manga_Julho_331
0.35,2.12,37.15,8.0,ISO-HACCP,Manteiga de manga_Julho_332
0.86,1.3,31.32,7.0,ISO-HACCP,Manteiga de manga_Julho_333
0.31,1.55,32.46,8.0,Internacional,Manteiga de manga_Julho_334
0.46,5.57,32.58,9.0,Internacional,Manteiga de manga_Julho_335
1.11,3.41,34.7,9.0,ANVISA,Manteiga de manga_Julho_336
0.41,6.55,35.31,8.0,Internacional,Manteiga de manga_Julho_337
0.91,5.57,34.92,8.0,ISO-HACCP,Manteiga de manga_Julho_338
0.63,3.47,31.03,8.0,ISO-HACCP,Manteiga de manga_Julho_339
0.35,2.27,33.59,10.0,Internacional,Manteiga de manga_Julho_340
0.74,5.87,31.91,8.0,Internacional,Manteiga de manga_Julho_341
0.68,5.53,36.49,7.0,Internacional,Manteiga de manga_Julho_342
0.52,5.31,33.67,7.826709526592636,ISO-HACCP,Manteiga de manga_Julho_343
0.42,5.81,38.24,6.0,Internacional,Manteiga de manga_Julho_344
0.42,4.51,36.78,10.0,ANVISA,Manteiga de manga_Julho_345
0.63,3.9,31.76,8.0,ISO-HACCP,Manteiga de manga_Julho_346
0.61,2.61,32.47,7.0,ANVISA,Manteiga de manga_Julho_347
0.42,4.53,32.73,9.0,Nenhuma,Manteiga de manga_Julho_348
0.6,4.83,34.24,6.0,Nenhuma,Manteiga de manga_Julho_349
0.46,5.5,36.57,8.0,ANVISA,Manteiga de manga_Julho_350
0.59,3.66,33.93,9.0,ANVISA,Manteiga de manga_Julho_351
0.4,2.8,30.2,8.0,ISO-HACCP,Manteiga de manga_Julho_352
0.72,5.5,34.1,7.0,ANVISA,Manteiga de manga_Julho_353
0.63,4.22,34.52,7.0,ISO-HACCP,Manteiga de manga_Julho_354
0.44,5.29,31.98,7.0,Internacional,Manteiga de manga_Julho_355
0.96,4.58,32.37,7.0,ISO-HACCP,Manteiga de manga_Julho_356
1.05,2.79,34.3,10.0,Internacional,Manteiga de manga_Julho_357
0.43,1.01,33.04,7.0,ANVISA,Manteiga de manga_Julho_358
0.13,4.0,31.91,8.0,ANVISA,Manteiga de manga_Julho_359
0.42,1.42,33.65,8.0,ANVISA,Manteiga de manga_Julho_360
0.97,4.96,32.73,6.0,Nenhuma,Manteiga de manga_Julho_361
0.33,2.36,31.8,8.0,Internacional,Manteiga de manga_Julho_362
0.72,6.27,34.6,9.0,Nenhuma,Manteiga de manga_Julho_363
0.1,3.12,38.41,7.0,ISO-HACCP,Manteiga de manga_Julho_364
0.6,5.67,34.1,7.0,Nenhuma,Manteiga de manga_Julho_365
0.42,4.19,31.36,7.0,Internacional,Manteiga de manga_Julho_366
